token_id,issued_at,insight_tier,base_bank_depth,inferential_richness,trend_position,rarity_score,amount,issuance_trigger
TKN-001,2026-04-01T09:15:00Z,theoretical,88,0.91,0.12,0.8888,5,novel_synthesis_identified
TKN-002,2026-04-03T14:22:00Z,causal,76,0.83,0.28,0.8060,4,causal_chain_identified
TKN-003,2026-04-05T11:05:00Z,structural,65,0.72,0.45,0.6880,3,system_map_constructed
TKN-004,2026-04-07T16:40:00Z,pattern,55,0.58,0.62,0.5520,2,cross_domain_link_found
TKN-005,2026-04-10T08:30:00Z,surface,42,0.22,0.88,0.1760,1,fact_recalled_correctly
TKN-006,2026-04-12T13:55:00Z,theoretical,92,0.95,0.08,0.9280,5,theory_extension_proposed
TKN-007,2026-04-14T10:10:00Z,causal,81,0.78,0.33,0.7820,4,root_cause_identified
TKN-008,2026-04-17T15:25:00Z,structural,70,0.68,0.51,0.6620,3,dependency_graph_completed
TKN-009,2026-04-20T09:45:00Z,causal,73,0.85,0.22,0.8140,4,mechanism_traced_to_source
TKN-010,2026-04-22T12:00:00Z,pattern,60,0.55,0.70,0.4700,2,recurring_pattern_named
TKN-011,2026-04-25T14:35:00Z,theoretical,95,0.93,0.05,0.9320,5,conceptual_bridge_built
TKN-012,2026-04-28T11:20:00Z,structural,68,0.65,0.48,0.6620,3,abstraction_layer_identified
TKN-013,2026-05-01T09:00:00Z,surface,38,0.18,0.92,0.1440,1,definition_confirmed
TKN-014,2026-05-03T16:10:00Z,causal,79,0.80,0.30,0.7820,4,feedback_loop_identified
TKN-015,2026-05-05T10:50:00Z,pattern,58,0.62,0.58,0.5480,2,analogical_transfer_made
